ID;SongName;Artist
1;Shape of You;Ed Sheeran
2;Girls Like You;Maroon 5 ft. Cardi B
3;I Cry;Usher
4;Smile;Katy Perry
5;Alone In My Car; NIKI DEMAR
6;I Should Probably Go To Bed;Dan + Shay
7;Perfect;Ed Sheeran
8;Rain On Me;Lady Gaga, Ariana Grande
9;Hold Me;MASN
10;Uptown Funk;Mark Ronson
11;Dark Horse;Katy Perry
12;Roar;Katy Perry
13;Easy;Troye Sivan
14;Intentions;Justin Bieber
15;Gold;James Barre
16;Let Her Go;Passenger
17;Dedicated to You; Eleanor Kingston
18;Sugar;Maroon 5
19;Dusk Till Dawn;ZAYN ft. Sia
20;Play Fight;THEY.
21;Break My Heart;Dua Lipa
22;The Good Life;Devon Gilfillian
23;A Thousand Years;Christina Perri
24;Politics & Violence;Dominic Fike
25;The Lazy Song;Bruno Mars
26;Shallow;Lady Gaga, Bradley Cooper
27;Skying;Izzy Perri
28;Watermelon Sugar;Harry Styles
29;Never;AWGUST, Sofia Reyes
30;New Rules;Dua Lipa
31;Bang Bang; JessieJ, Ariana Grande, Nicki Minaj
32;Someone Like You;Adele
33;Memories;Maroon 5
34;We Don't Talk Anymore;Charlie Puth
35;Come Over; Nick Lopez
36;Say You Won't Let Go;James Arthur
37;Side To Side;Ariana Grande ft. Nicki Minaj
38;been thinking;mike.
39;Don't Start Now;Dua Lipa
40;Dr. Dr.;Miguel Fasa
41;Work from Home;Fifth Harmony
42;Bags;Yaz
43;Hello;Adelle
44;Thinking Out Loud;Ed Sheeran
45;white lie;contradash
46;Physicla;Dua Lipa
47;Without Me;Halsey
48;Rude;MAGIC!
49;Sad Little Rant;Natalie Carr
50;Sing of the Times;Harry Styles
51;Happiness;Marquette King
52;Stuck With U;Ariana Grande & Justin Bieber
53;Bad Romance;Lady Gaga
54;Hate Me!;MASN
55;thank u, next;Ariana Grande
56;Alone;Loren Gray
57;Rckabye;Clean Bandit
58;Lose You To Love Me;Selena Gomez
59;Rolling in the Deep;Adele
60;Mama;GASHI ft. Sting
61;Cheap Thrills; Sia ft. Sean Paul
62;Worth It;Fifth Harmony ft.Kid Ink
63;Water;Ryland James
64;South of the Border;Ed Sheeran
65;You Belong With Me;Taylor Swift
66;Halo;Beyoncé
67;I Hope;Gabby Barrett ft. Charlie Puth
68;You Are The Reason;Calum Scott
